u,v,weight,sign,SIP,SIN,SDP,SDN,Uncommon,SIPV,SINV,SDPV,SDNV,UncommonV
312.0,1915.0,0.0531,P,6,0,48,0,21,0,1,5,1,3
312.0,208.0,0.028599999999999997,P,6,0,48,0,21,6,2,26,1,16
312.0,885.0,0.040600000000000004,P,6,0,48,0,21,0,1,6,0,3
312.0,4043.0,0.0059,P,6,0,48,0,21,0,0,0,0,0
312.0,2632.0,0.060399999999999995,P,6,0,48,0,21,0,0,1,0,0
312.0,2785.0,0.0359,P,6,0,48,0,21,0,0,0,0,0
312.0,3724.0,0.06949999999999999,P,6,0,48,0,21,0,0,0,0,3
312.0,3700.0,0.0128,P,6,0,48,0,21,12,12,58,0,2
312.0,910.0,0.0172,P,6,0,48,0,21,8,0,8,0,2
312.0,1795.0,0.0163,P,6,0,48,0,21,0,1,0,0,2
312.0,1578.0,0.0091,P,6,0,48,0,21,0,0,0,0,5
312.0,1908.0,0.0407,P,6,0,48,0,21,5,0,50,0,5
312.0,1607.0,0.023100000000000002,P,6,0,48,0,21,2,0,10,0,0
312.0,3648.0,0.0373,P,6,0,48,0,21,0,0,0,0,0
312.0,4201.0,0.04,P,6,0,48,0,21,3,0,3,0,1
312.0,332.0,0.0121,P,6,0,48,0,21,0,0,2,0,1
312.0,4156.0,0.0081,P,6,0,48,0,21,0,0,1,0,0
312.0,100.0,0.0741,P,6,0,48,0,21,0,0,3,0,2
312.0,297.0,0.0223,P,6,0,48,0,21,6,5,41,4,23
312.0,4007.0,0.025500000000000002,P,6,0,48,0,21,0,0,1,0,0
312.0,3719.0,0.0335,P,6,0,48,0,21,1,0,11,0,1
312.0,2318.0,0.012299999999999997,P,6,0,48,0,21,0,0,1,0,0
312.0,2066.0,0.018899999999999997,P,6,0,48,0,21,0,0,0,0,1
312.0,360.0,0.0358,P,6,0,48,0,21,4,2,50,3,16
312.0,1347.0,0.02185,P,6,0,48,0,21,3,0,10,0,7
312.0,3691.0,0.0419,P,6,0,48,0,21,2,0,12,1,3
312.0,376.0,0.027600000000000003,P,6,0,48,0,21,14,7,154,16,0
312.0,2841.0,0.0643,P,6,0,48,0,21,0,0,4,0,0
312.0,5969.0,0.045700000000000005,P,6,0,48,0,21,0,0,0,0,0
312.0,6873.0,0.0405,P,6,0,48,0,21,0,0,1,0,0
312.0,2885.0,0.027600000000000003,P,6,0,48,0,21,2,1,11,4,5
312.0,553.0,0.053500000000000006,P,6,0,48,0,21,1,0,0,0,1
312.0,3867.0,0.0429,P,6,0,48,0,21,0,0,0,0,2
312.0,3611.0,0.0332,P,6,0,48,0,21,0,0,0,0,0
312.0,5793.0,0.0376,P,6,0,48,0,21,0,0,0,0,2
312.0,485.0,0.0030000000000000014,P,6,0,48,0,21,1,2,9,0,2
312.0,2188.0,0.0781,P,6,0,48,0,21,0,0,1,0,3
312.0,4536.0,0.0243,P,6,0,48,0,21,5,0,6,0,1
312.0,355.0,0.0063,P,6,0,48,0,21,3,0,11,0,15
312.0,2230.0,0.006500000000000001,P,6,0,48,0,21,0,0,26,0,3
312.0,5383.0,0.006,P,6,0,48,0,21,0,0,0,0,1
312.0,4354.0,0.0365,P,6,0,48,0,21,0,0,0,0,0
7810.0,6246.0,0.0744,P,0,0,2,0,1,0,0,3,0,4
7810.0,6034.0,0.0398,P,0,0,2,0,1,0,0,6,0,12
6246.0,7732.0,0.0188,P,0,0,3,0,4,0,0,0,0,0
6246.0,7236.0,0.027800000000000002,P,0,0,3,0,4,0,0,0,0,1
6246.0,7642.0,0.0070999999999999995,P,0,0,3,0,4,0,3,5,0,6
6246.0,7193.0,0.0172,P,0,0,3,0,4,0,0,0,0,3
6246.0,2203.0,0.013099999999999997,P,0,0,3,0,4,1,1,11,0,4
6246.0,7412.0,0.0651,P,0,0,3,0,4,0,0,2,0,2
6034.0,7211.0,0.039,P,0,0,6,0,12,1,0,1,0,3
6034.0,8644.0,0.032600000000000004,P,0,0,6,0,12,0,0,1,0,2
6034.0,4057.0,-0.039400000000000004,N,0,0,6,0,12,0,0,1,0,1
6034.0,8126.0,0.027000000000000003,P,0,0,6,0,12,0,0,0,0,0
6034.0,5834.0,0.0259,P,0,0,6,0,12,2,0,12,0,4
6034.0,3172.0,0.026600000000000002,P,0,0,6,0,12,0,0,0,0,1
6034.0,2631.0,0.0688,P,0,0,6,0,12,0,0,9,0,22
6034.0,7374.0,0.0242,P,0,0,6,0,12,0,0,0,0,0
6034.0,7317.0,0.039400000000000004,P,0,0,6,0,12,0,0,1,0,0
6034.0,9113.0,0.0314,P,0,0,6,0,12,0,0,0,0,0
6034.0,8977.0,0.030199999999999998,P,0,0,6,0,12,0,0,0,0,0
6034.0,7448.0,0.023100000000000002,P,0,0,6,0,12,0,0,0,0,0
6034.0,5916.0,0.0368,P,0,0,6,0,12,1,0,2,3,9
6034.0,7228.0,0.041999999999999996,P,0,0,6,0,12,0,0,2,0,6
6034.0,1620.0,0.047799999999999995,P,0,0,6,0,12,0,0,4,1,5
6034.0,7412.0,0.056499999999999995,P,0,0,6,0,12,0,0,2,0,2
6034.0,6090.0,0.0182,P,0,0,6,0,12,0,0,0,0,1
6034.0,7305.0,0.059199999999999996,P,0,0,6,0,12,0,0,0,0,0
7236.0,3774.0,0.0754,P,0,0,0,0,1,3,4,37,1,20
7642.0,7755.0,-0.0157,N,0,3,5,0,6,1,0,0,0,7
7642.0,7421.0,0.009600000000000001,P,0,3,5,0,6,1,0,0,0,1
7642.0,7444.0,0.0031,P,0,3,5,0,6,1,0,6,0,1
7642.0,7196.0,0.0359,P,0,3,5,0,6,0,0,0,0,2
7642.0,7888.0,0.07830000000000001,P,0,3,5,0,6,0,0,0,0,3
7642.0,8721.0,-0.0333,N,0,3,5,0,6,0,0,0,0,4
7642.0,7490.0,-0.000499999999999999,N,0,3,5,0,6,0,0,0,0,0
7642.0,577.0,0.0012999999999999997,P,0,3,5,0,6,0,0,0,0,0
7642.0,1903.0,0.0223,P,0,3,5,0,6,2,0,5,0,9
7642.0,7927.0,0.0314,P,0,3,5,0,6,0,0,0,0,0
7642.0,3160.0,0.0534,P,0,3,5,0,6,1,0,1,0,7
7642.0,8639.0,0.0853,P,0,3,5,0,6,2,0,8,0,13
7193.0,8205.0,-0.0128,N,0,0,0,0,3,0,0,0,0,0
7193.0,7430.0,0.0164,P,0,0,0,0,3,0,0,0,0,2
7193.0,7559.0,0.032600000000000004,P,0,0,0,0,3,1,0,0,0,0
2203.0,7263.0,0.0152,P,1,1,11,0,4,0,0,0,0,2
2203.0,4070.0,0.039400000000000004,P,1,1,11,0,4,0,0,2,0,8
2203.0,7322.0,0.0304,P,1,1,11,0,4,0,0,0,0,0
2203.0,5161.0,0.0163,P,1,1,11,0,4,0,0,9,0,2
2203.0,4773.0,0.0595,P,1,1,11,0,4,1,1,18,2,13
2203.0,8008.0,0.0354,P,1,1,11,0,4,0,0,0,0,0
2203.0,7942.0,0.0182,P,1,1,11,0,4,0,0,0,0,1
2203.0,7377.0,-0.027200000000000002,N,1,1,11,0,4,1,0,1,0,2
2203.0,7295.0,0.0186,P,1,1,11,0,4,0,0,0,0,5
2203.0,1040.0,0.020999999999999998,P,1,1,11,0,4,0,0,0,0,6
2203.0,1960.0,0.0264,P,1,1,11,0,4,0,0,0,0,2
2203.0,3374.0,0.0417,P,1,1,11,0,4,0,0,0,0,1
2203.0,7102.0,0.0434,P,1,1,11,0,4,0,0,0,0,5
2203.0,8148.0,0.0054,P,1,1,11,0,4,0,0,0,0,0
2203.0,3799.0,0.0161,P,1,1,11,0,4,1,0,7,0,10
7412.0,7196.0,0.0381,P,0,0,2,0,2,0,0,0,0,2
7412.0,8854.0,0.0431,P,0,0,2,0,2,0,0,0,0,1
7412.0,3949.0,0.06720000000000001,P,0,0,2,0,2,0,0,1,0,3
7412.0,7236.0,0.0257,P,0,0,2,0,2,0,0,0,0,1
184.0,493.0,-0.00010000000000000009,N,8,3,1,5,23,2,0,22,0,2
184.0,188.0,-0.0697,N,8,3,1,5,23,13,4,34,2,2
184.0,2368.0,0.001899999999999999,P,8,3,1,5,23,0,0,0,0,0
184.0,430.0,-0.009300000000000001,N,8,3,1,5,23,1,0,1,0,1
184.0,2245.0,0.0028,P,8,3,1,5,23,3,4,21,0,3
184.0,1460.0,-0.0178,N,8,3,1,5,23,3,0,1,0,3
184.0,910.0,-0.0037000000000000006,N,8,3,1,5,23,8,0,8,0,2
184.0,294.0,-0.0339,N,8,3,1,5,23,0,0,1,0,1
184.0,2783.0,0.0643,P,8,3,1,5,23,2,2,3,2,1
184.0,1726.0,0.0137,P,8,3,1,5,23,0,0,0,1,0
184.0,1278.0,0.031,P,8,3,1,5,23,1,1,6,0,4
184.0,1363.0,-0.0217,N,8,3,1,5,23,0,0,0,0,1
184.0,3346.0,0.0566,P,8,3,1,5,23,2,0,2,1,2
184.0,166.0,-0.0131,N,8,3,1,5,23,1,5,17,0,4
184.0,1988.0,0.0392,P,8,3,1,5,23,0,0,3,1,1
184.0,897.0,0.012199999999999999,P,8,3,1,5,23,1,2,1,1,9
184.0,3501.0,0.05500000000000001,P,8,3,1,5,23,0,0,7,0,1
184.0,4575.0,0.017,P,8,3,1,5,23,0,0,0,0,0
184.0,4211.0,0.034,P,8,3,1,5,23,0,0,0,0,0
184.0,180.0,-0.0038000000000000004,N,8,3,1,5,23,15,8,53,2,7
184.0,2703.0,0.0182,P,8,3,1,5,23,0,0,0,0,0
184.0,215.0,0.055600000000000004,P,8,3,1,5,23,0,0,9,1,3
184.0,768.0,0.0481,P,8,3,1,5,23,0,0,0,0,1
184.0,27.0,0.014800000000000002,P,8,3,1,5,23,5,1,33,0,7
184.0,1229.0,0.048,P,8,3,1,5,23,0,0,6,0,2
184.0,3420.0,0.022600000000000002,P,8,3,1,5,23,0,0,0,0,0
184.0,425.0,0.0196,P,8,3,1,5,23,0,0,5,0,0
184.0,2669.0,0.0427,P,8,3,1,5,23,0,0,0,0,1
184.0,2577.0,-0.0319,N,8,3,1,5,23,6,7,8,3,7
184.0,274.0,-0.0005000000000000004,N,8,3,1,5,23,15,4,96,0,9
184.0,542.0,0.0020000000000000005,P,8,3,1,5,23,0,0,0,0,0
184.0,7.0,-0.0005999999999999979,N,8,3,1,5,23,3,2,16,0,12
184.0,129.0,-0.0126,N,8,3,1,5,23,0,0,0,0,1
184.0,181.0,0.0187,P,8,3,1,5,23,0,0,0,0,3
184.0,221.0,-0.0134,N,8,3,1,5,23,5,1,6,0,1
184.0,2.0,-0.002700000000000001,N,8,3,1,5,23,3,0,15,0,3
184.0,4279.0,-0.05620000000000001,N,8,3,1,5,23,0,0,0,0,0
493.0,932.0,0.0398,P,2,0,22,0,2,0,0,0,0,0
493.0,1229.0,0.023200000000000002,P,2,0,22,0,2,0,0,6,0,2
493.0,656.0,0.02865,P,2,0,22,0,2,28,15,159,7,3
493.0,2469.0,0.0152,P,2,0,22,0,2,0,0,0,0,0
493.0,1664.0,0.0268,P,2,0,22,0,2,1,0,5,0,2
493.0,1909.0,0.0355,P,2,0,22,0,2,0,0,10,0,2
493.0,1622.0,0.021249999999999998,P,2,0,22,0,2,2,0,3,0,0
493.0,864.0,0.0167,P,2,0,22,0,2,0,0,2,0,2
493.0,485.0,0.0147,P,2,0,22,0,2,1,2,9,0,2
493.0,1836.0,0.0691,P,2,0,22,0,2,1,3,40,3,2
493.0,1305.0,0.014299999999999998,P,2,0,22,0,2,7,8,23,0,4
493.0,1196.0,0.0263,P,2,0,22,0,2,0,0,7,0,0
493.0,407.0,0.0294,P,2,0,22,0,2,0,0,0,0,0
188.0,2601.0,0.0256,P,13,4,34,2,2,0,3,9,0,2
188.0,274.0,0.1,P,13,4,34,2,2,15,4,96,0,9
188.0,875.0,0.0492,P,13,4,34,2,2,4,6,14,0,11
188.0,1167.0,0.055400000000000005,P,13,4,34,2,2,1,1,7,0,2
188.0,2245.0,0.0268,P,13,4,34,2,2,3,4,21,0,3
188.0,180.0,0.0195,P,13,4,34,2,2,15,8,53,2,7
188.0,673.0,0.0451,P,13,4,34,2,2,1,0,12,0,0
188.0,275.0,0.1,P,13,4,34,2,2,11,0,54,1,4
188.0,512.0,0.05689999999999999,P,13,4,34,2,2,1,0,7,0,0
188.0,2503.0,-0.0063,N,13,4,34,2,2,0,0,0,0,0
188.0,1819.0,0.1,P,13,4,34,2,2,0,0,4,0,2
